시도명,시도 방문자 비율,시군구명,시군구 방문자 비율
강원특별자치도,1.01,양양군,3.09
강원특별자치도,1.01,고성군,1.41
강원특별자치도,1.01,인제군,1.46
강원특별자치도,1.01,양구군,0.27
강원특별자치도,1.01,화천군,0.7
강원특별자치도,1.01,철원군,0.64
강원특별자치도,1.01,정선군,2.12
강원특별자치도,1.01,평창군,6.7
강원특별자치도,1.01,영월군,1.16
강원특별자치도,1.01,횡성군,2.85
강원특별자치도,1.01,홍천군,4.72
강원특별자치도,1.01,삼척시,12.05
강원특별자치도,1.01,속초시,3.81
강원특별자치도,1.01,태백시,1.19
강원특별자치도,1.01,동해시,6.86
강원특별자치도,1.01,강릉시,11.75
강원특별자치도,1.01,원주시,16.78
강원특별자치도,1.01,춘천시,22.46
경기도,13.72,양평군,0.4
경기도,13.72,가평군,0.78
경기도,13.72,연천군,0.1
경기도,13.72,여주시,0.55
경기도,13.72,포천시,0.74
경기도,13.72,양주시,1.04
경기도,13.72,광주시,1.27
경기도,13.72,화성시,7.35
경기도,13.72,김포시,5.18
경기도,13.72,안성시,1.59
경기도,13.72,이천시,1.03
경기도,13.72,파주시,4.61
경기도,13.72,용인시,5.82
경기도,13.72,하남시,0.69
경기도,13.72,의왕시,0.51
경기도,13.72,군포시,1.49
경기도,13.72,시흥시,7.08
경기도,13.72,오산시,2.19
경기도,13.72,남양주시,1.1
경기도,13.72,구리시,0.43
경기도,13.72,과천시,0.3
경기도,13.72,고양시,11.51
경기도,13.72,안산시,13.41
경기도,13.72,동두천시,0.3
경기도,13.72,평택시,7.35
경기도,13.72,광명시,1.45
경기도,13.72,부천시,6.19
경기도,13.72,안양시,1.99
경기도,13.72,의정부시,1.18
경기도,13.72,성남시,4.13
경기도,13.72,수원시,8.24
경상남도,2.57,합천군,0.31
경상남도,2.57,거창군,0.39
경상남도,2.57,함양군,0.36
경상남도,2.57,산청군,0.31
경상남도,2.57,하동군,0.59
경상남도,2.57,남해군,5.06
경상남도,2.57,고성군,0.84
경상남도,2.57,창녕군,1.41
경상남도,2.57,함안군,1.27
경상남도,2.57,의령군,0.3
경상남도,2.57,양산시,5.47
경상남도,2.57,거제시,24.47
경상남도,2.57,밀양시,1.39
경상남도,2.57,김해시,10.02
경상남도,2.57,사천시,0.9
경상남도,2.57,통영시,26.35
경상남도,2.57,진주시,3.01
경상남도,2.57,창원시,17.55
경상북도,2.73,울릉군,11.36
경상북도,2.73,울진군,4.93
경상북도,2.73,봉화군,0.2
경상북도,2.73,예천군,0.29
경상북도,2.73,칠곡군,2.76
경상북도,2.73,성주군,0.7
경상북도,2.73,고령군,0.59
경상북도,2.73,청도군,0.71
경상북도,2.73,영덕군,5.45
경상북도,2.73,영양군,0.18
경상북도,2.73,청송군,0.15
경상북도,2.73,의성군,0.68
경상북도,2.73,경산시,19.93
경상북도,2.73,문경시,0.89
경상북도,2.73,상주시,2.11
경상북도,2.73,영천시,3.33
경상북도,2.73,영주시,0.84
경상북도,2.73,구미시,10.61
경상북도,2.73,안동시,1.06
경상북도,2.73,김천시,2.32
경상북도,2.73,경주시,17.91
경상북도,2.73,포항시,12.98
광주광역시,0.48,광산구,44.33
광주광역시,0.48,북구,20.06
광주광역시,0.48,남구,6.96
광주광역시,0.48,서구,19.23
광주광역시,0.48,동구,9.42
대구광역시,0.77,군위군,1.8
대구광역시,0.77,달성군,13.58
대구광역시,0.77,달서구,18.18
대구광역시,0.77,수성구,9.95
대구광역시,0.77,북구,16.61
대구광역시,0.77,남구,2.91
대구광역시,0.77,서구,5.61
대구광역시,0.77,동구,20.75
대구광역시,0.77,중구,10.61
대전광역시,0.56,대덕구,9.82
대전광역시,0.56,유성구,33.34
대전광역시,0.56,서구,21.39
대전광역시,0.56,중구,9.92
대전광역시,0.56,동구,25.54
부산광역시,4.47,기장군,5.78
부산광역시,4.47,사상구,3.8
부산광역시,4.47,수영구,5.41
부산광역시,4.47,연제구,1
부산광역시,4.47,강서구,16.08
부산광역시,4.47,금정구,2.05
부산광역시,4.47,사하구,3.99
부산광역시,4.47,해운대구,14.88
부산광역시,4.47,북구,0.6
부산광역시,4.47,남구,9.33
부산광역시,4.47,동래구,0.78
부산광역시,4.47,부산진구,6.04
부산광역시,4.47,영도구,9.85
부산광역시,4.47,동구,7.77
부산광역시,4.47,서구,7.27
부산광역시,4.47,중구,5.37
서울특별시,23.86,강동구,0.63
서울특별시,23.86,송파구,2.37
서울특별시,23.86,강남구,8.04
서울특별시,23.86,서초구,3.3
서울특별시,23.86,관악구,1.5
서울특별시,23.86,동작구,1.42
서울특별시,23.86,영등포구,7.17
서울특별시,23.86,금천구,1.76
서울특별시,23.86,구로구,3.59
서울특별시,23.86,강서구,3.97
서울특별시,23.86,양천구,0.63
서울특별시,23.86,마포구,12.31
서울특별시,23.86,서대문구,4.96
서울특별시,23.86,은평구,0.74
서울특별시,23.86,노원구,0.3
서울특별시,23.86,도봉구,0.16
서울특별시,23.86,강북구,0.44
서울특별시,23.86,성북구,1.5
서울특별시,23.86,중랑구,0.36
서울특별시,23.86,동대문구,2.37
서울특별시,23.86,광진구,2.15
서울특별시,23.86,성동구,4.25
서울특별시,23.86,용산구,7.33
서울특별시,23.86,중구,20.08
서울특별시,23.86,종로구,8.67
세종특별자치시,0.25,세종특별자치시,0.25
울산광역시,1.16,울주군,23.28
울산광역시,1.16,북구,34.3
울산광역시,1.16,동구,16.01
울산광역시,1.16,남구,20.47
울산광역시,1.16,중구,5.94
인천광역시,15.13,옹진군,19.17
인천광역시,15.13,강화군,0.59
인천광역시,15.13,서구,5.56
인천광역시,15.13,계양구,2.13
인천광역시,15.13,부평구,2.87
인천광역시,15.13,남동구,3.73
인천광역시,15.13,연수구,6.81
인천광역시,15.13,미추홀구,2.44
인천광역시,15.13,동구,0.84
인천광역시,15.13,중구,55.85
전라남도,5.83,신안군,40.39
전라남도,5.83,진도군,10.82
전라남도,5.83,완도군,13.62
