시도명,시도 소비 비율,시군구 명,시군구 소비 비율
기타(온라인),7.92,기타(온라인),100
서울특별시,66.23,종로구,2.54
서울특별시,66.23,중구,31.04
서울특별시,66.23,용산구,4.1
서울특별시,66.23,성동구,4.56
서울특별시,66.23,광진구,0.9
서울특별시,66.23,동대문구,0.9
서울특별시,66.23,중랑구,0.06
서울특별시,66.23,성북구,0.36
서울특별시,66.23,강북구,0.1
서울특별시,66.23,도봉구,0.03
서울특별시,66.23,노원구,0.07
서울특별시,66.23,은평구,0.14
서울특별시,66.23,서대문구,1.22
서울특별시,66.23,마포구,7.32
서울특별시,66.23,양천구,0.09
서울특별시,66.23,강서구,1.2
서울특별시,66.23,구로구,0.43
서울특별시,66.23,금천구,0.54
서울특별시,66.23,영등포구,3.93
서울특별시,66.23,동작구,0.28
서울특별시,66.23,관악구,0.19
서울특별시,66.23,서초구,7.36
서울특별시,66.23,강남구,28.17
서울특별시,66.23,송파구,4.16
서울특별시,66.23,강동구,0.32
부산광역시,4.62,중구,6.24
부산광역시,4.62,서구,2.15
부산광역시,4.62,동구,1.69
부산광역시,4.62,영도구,1.2
부산광역시,4.62,부산진구,21.26
부산광역시,4.62,동래구,0.41
부산광역시,4.62,남구,1.29
부산광역시,4.62,북구,0.56
부산광역시,4.62,해운대구,35.71
부산광역시,4.62,사하구,1.25
부산광역시,4.62,금정구,1.42
부산광역시,4.62,강서구,4.22
부산광역시,4.62,연제구,0.32
부산광역시,4.62,수영구,3.32
부산광역시,4.62,사상구,6.99
부산광역시,4.62,기장군,11.99
대구광역시,0.43,중구,33.47
대구광역시,0.43,동구,19.76
대구광역시,0.43,서구,1.16
대구광역시,0.43,남구,1.8
대구광역시,0.43,북구,10.61
대구광역시,0.43,수성구,13.26
대구광역시,0.43,달서구,14.84
대구광역시,0.43,달성군,4.91
대구광역시,0.43,군위군,0.18
인천광역시,6.68,중구,85.63
인천광역시,6.68,동구,0.05
인천광역시,6.68,미추홀구,2.53
인천광역시,6.68,연수구,6.07
인천광역시,6.68,남동구,3.04
인천광역시,6.68,부평구,0.91
인천광역시,6.68,계양구,0.22
인천광역시,6.68,서구,1.47
인천광역시,6.68,강화군,0.07
인천광역시,6.68,옹진군,0.01
광주광역시,0.34,동구,12.78
광주광역시,0.34,서구,36.47
광주광역시,0.34,남구,1.18
광주광역시,0.34,북구,6.99
광주광역시,0.34,광산구,42.58
대전광역시,0.32,동구,29.43
대전광역시,0.32,중구,5.78
대전광역시,0.32,서구,18.52
대전광역시,0.32,유성구,44.79
대전광역시,0.32,대덕구,1.49
울산광역시,0.12,중구,5.69
울산광역시,0.12,남구,68.62
울산광역시,0.12,동구,9.74
울산광역시,0.12,북구,4.51
울산광역시,0.12,울주군,11.43
세종특별자치시,0.07,세종특별자치시,100
경기도,5.41,수원시 장안구,0.55
경기도,5.41,수원시 권선구,1.56
경기도,5.41,수원시 팔달구,6.44
경기도,5.41,수원시 영통구,7.61
경기도,5.41,성남시 수정구,1.88
경기도,5.41,성남시 중원구,2.89
경기도,5.41,성남시 분당구,15.49
경기도,5.41,의정부시,1.22
경기도,5.41,안양시 만안구,0.41
경기도,5.41,안양시 동안구,1.56
경기도,5.41,부천시 원미구,6.18
경기도,5.41,부천시 소사구,0.69
경기도,5.41,부천시 오정구,0.06
경기도,5.41,광명시,0.92
경기도,5.41,평택시,1.66
경기도,5.41,동두천시,0.4
경기도,5.41,안산시 상록구,2.62
경기도,5.41,안산시 단원구,2.39
경기도,5.41,고양시 덕양구,3.03
경기도,5.41,고양시 일산동구,1.99
